domain1,domain2,interdomain,signal,class1,class2,GT,GT_ratio_order,pred_root_majority,acc_root_majority,pred_root_ttest,acc_root_ttest,pred_root_ttest_majority,acc_root_ttest_majority
creative_work,creative_work,False,coqex,animation feature film,technological invention,1,1,1.0,1,1.0,1,1.0,1
creative_work,creative_work,False,coqex,animation feature film,website,-1,5,-1.0,1,-1.0,1,-1.0,1
creative_work,creative_work,False,coqex,board game,animation feature film,1,1,-1.0,0,-1.0,0,-1.0,0
creative_work,creative_work,False,coqex,board game,mobile app,-1,2,1.0,0,1.0,0,1.0,0
creative_work,creative_work,False,coqex,board game,national dance,1,2,1.0,1,1.0,1,1.0,1
creative_work,creative_work,False,coqex,board game,painting,-1,0,-1.0,1,-1.0,1,-1.0,1
creative_work,creative_work,False,coqex,board game,patent,-1,1,-1.0,1,-1.0,1,-1.0,1
creative_work,creative_work,False,coqex,board game,play,1,0,-1.0,0,-1.0,0,-1.0,0
creative_work,creative_work,False,coqex,board game,religious text,1,3,-1.0,0,-1.0,0,-1.0,0
creative_work,creative_work,False,coqex,board game,scientific paper,-1,3,1.0,0,1.0,0,1.0,0
creative_work,creative_work,False,coqex,board game,song,-1,3,1.0,0,1.0,0,1.0,0
creative_work,creative_work,False,coqex,board game,technological invention,1,2,1.0,1,1.0,1,1.0,1
creative_work,creative_work,False,coqex,board game,video game,-1,0,1.0,0,1.0,0,1.0,0
creative_work,creative_work,False,coqex,board game,website,-1,4,-1.0,1,-1.0,1,-1.0,1
creative_work,creative_work,False,coqex,book,animation feature film,1,4,-1.0,0,-1.0,0,-1.0,0
creative_work,creative_work,False,coqex,book,board game,1,3,1.0,1,1.0,1,1.0,1
creative_work,creative_work,False,coqex,book,mobile app,1,1,1.0,1,1.0,1,1.0,1
creative_work,creative_work,False,coqex,book,national dance,1,5,1.0,1,1.0,1,1.0,1
creative_work,creative_work,False,coqex,book,painting,1,3,-1.0,0,-1.0,0,-1.0,0
creative_work,creative_work,False,coqex,book,patent,1,1,-1.0,0,-1.0,0,-1.0,0
creative_work,creative_work,False,coqex,book,play,1,3,-1.0,0,-1.0,0,-1.0,0
creative_work,creative_work,False,coqex,book,religious text,1,6,-1.0,0,-1.0,0,-1.0,0
creative_work,creative_work,False,coqex,book,scientific paper,1,0,1.0,1,1.0,1,1.0,1
creative_work,creative_work,False,coqex,book,song,-1,0,1.0,0,1.0,0,1.0,0
creative_work,creative_work,False,coqex,book,technological invention,1,5,1.0,1,1.0,1,1.0,1
creative_work,creative_work,False,coqex,book,video game,1,2,1.0,1,1.0,1,1.0,1
creative_work,creative_work,False,coqex,book,website,-1,1,-1.0,1,-1.0,1,-1.0,1
creative_work,creative_work,False,coqex,film,animation feature film,1,1,-1.0,0,-1.0,0,-1.0,0
creative_work,creative_work,False,coqex,film,board game,1,0,-1.0,0,-1.0,0,-1.0,0
creative_work,creative_work,False,coqex,film,book,-1,2,-1.0,1,-1.0,1,-1.0,1
creative_work,creative_work,False,coqex,film,mobile app,-1,1,1.0,0,1.0,0,1.0,0
